time-ns,LogName,queueDelay,queueDelayMax,queueDelayMinAvg,sRtt,cwnd,bytesInFlightLog,rateTransmitted,isInFastStart,curMss,rtpQueueDelay,bytes,size,targetBitrate,rateRtp,packetsRtp,rateTransmittedStream,rateAcked,rateLost,rateCe,packetsCe,hiSeqTx,hiSeqAck,SeqDiff,packetetsRtpCleared,packetsLost,rtpqueue_full,force_idr,rate_updates
58844389127461, Log, 0.000, 0.001, 0.000, 0.000,   9790,   5127,    637, 0, 0,0.006, 0,0,  9000,    645, 10852,    637,   1288,     0,     0, 0, 13625, 13625, 0, 0,0,0,0,16
58845390110518, Log, 0.001, 0.001, 0.000, 0.000,   8621,   8612,    610, 0, 0,0.000, 66,3,  9000,    685, 11009,    610,      0,     0,     0, 0, 13779, 13771, 8, 0,0,0,0,16
58846391086061, Log, 0.000, 0.000, 0.000, 0.000,   8619,   6987,    554, 0, 0,0.000, 3323,9,  9000,    594, 11149,    554,      0,     0,     0, 0, 13913, 13913, 0, 0,0,0,0,16
58847392173504, Log, 0.000, 0.001, 0.000, 0.000,   6995,   6179,    601, 0, 0,0.000, 44,2,  9000,    674, 11287,    601,      0,     0,     0, 0, 14058, 14050, 8, 0,0,0,0,16
58848393073734, Log, 0.000, 0.001, 0.000, 0.000,   7114,   9047,    605, 0, 0,0.006, 0,0,  9000,    693, 11416,    605,      0,     0,     0, 0, 14189, 14189, 0, 0,0,0,0,16
58849394103960, Log, 0.000, 0.001, 0.000, 0.000,   7289,   7923,    681, 0, 0,0.000, 66,3,  9000,    790, 11577,    681,      0,     0,     0, 0, 14347, 14339, 8, 0,0,0,0,16
58850395125291, Log, 0.000, 0.001, 0.000, 0.000,   7454,   5906,    646, 0, 0,0.006, 0,0,  9000,    707, 11708,    646,      0,     0,     0, 0, 14481, 14481, 0, 0,0,0,0,16
58851396076553, Log, 0.000, 0.001, 0.000, 0.000,   5925,   9472,    662, 0, 0,0.006, 0,0,  9000,    755, 11870,    662,      0,     0,     0, 0, 14643, 14643, 0, 0,0,0,0,16
58852397071552, Log, 0.000, 0.001, 0.000, 0.000,   6112,   9396,    664, 0, 0,0.006, 0,0,  9000,    736, 12020,    664,      0,     0,     0, 0, 14793, 14793, 0, 0,0,0,0,16
58853398085847, Log, 0.000, 0.001, 0.000, 0.000,   6293,   9542,    674, 0, 0,0.006, 0,0,  9000,    778, 12169,    674,      0,     0,     0, 0, 14942, 14942, 0, 0,0,0,0,16
58854399698787, Log, 0.000, 0.001, 0.000, 0.000,   6452,   8179,    620, 0, 0,0.006, 0,0,  9000,    678, 12304,    620,      0,     0,     0, 0, 15077, 15077, 0, 0,0,0,0,16
58855400076705, Log, 0.000, 0.001, 0.000, 0.000,   6626,   9624,    610, 0, 0,0.006, 5074,11,  9000,    674, 12467,    610,      0,     0,     0, 0, 15229, 15225, 4, 0,0,0,0,16
58856401085995, Log, 0.000, 0.001, 0.000, 0.000,   6813,   9274,    629, 0, 0,0.006, 0,0,  9000,    713, 12609,    629,      0,     0,     0, 0, 15382, 15382, 0, 0,0,0,0,16
58857401908873, Log, 0.000, 0.001, 0.000, 0.000,   7001,   7793,    658, 0, 0,0.006, 0,0,  9000,    750, 12758,    658,      0,     0,     0, 0, 15531, 15531, 0, 0,0,0,0,16
58858403139239, Log, 0.000, 0.001, 0.000, 0.000,   7242,   9880,    698, 0, 0,0.006, 0,0,  9000,    778, 12908,    698,      0,     0,     0, 0, 15681, 15681, 0, 0,0,0,0,16
58859404098255, Log, 0.000, 0.001, 0.000, 0.000,   7412,   9505,    618, 0, 0,0.006, 0,0,  9000,    725, 13040,    618,      0,     0,     0, 0, 15813, 15813, 0, 0,0,0,0,16
58860405122663, Log, 0.000, 0.001, 0.000, 0.000,   7662,   6992,    738, 0, 0,0.006, 0,0,  9000,    847, 13209,    738,      0,     0,     0, 0, 15982, 15982, 0, 0,0,0,0,16
58861406104422, Log, 0.000, 0.001, 0.000, 0.000,   7615,   7591,    787, 0, 0,0.006, 0,0,  9000,    909, 13368,    787,      0,     0,     0, 0, 16141, 16141, 0, 0,0,0,0,16
58862407077839, Log, 0.000, 0.001, 0.000, 0.000,   7632,   8382,   1062, 0, 0,0.006, 0,0,  9000,   1253, 13524,   1062,   1751,     0,     0, 0, 16297, 16297, 0, 0,0,0,0,16
58863408102587, Log, 0.000, 0.001, 0.000, 0.000,   7839,  11529,   1081, 0, 0,0.006, 0,0,  9000,   1324, 13684,   1081,    658,     0,     0, 0, 16457, 16457, 0, 0,0,0,0,16
58864409084021, Log, 0.000, 0.001, 0.000, 0.000,   8046,  12698,    778, 0, 0,0.008, 0,0,  9000,    661, 13832,    778,      0,     0,     0, 0, 16605, 16605, 0, 0,0,0,0,16
58865409613625, Log, 0.000, 0.001, 0.000, 0.001,   8326,  13753,    898, 0, 0,0.025, 0,0,  9000,    577, 14008,    898,      0,     0,     0, 0, 16781, 16781, 0, 0,0,0,0,16
58866410146285, Log, 0.000, 0.001, 0.000, 0.001,   9311,  12069,   1484, 0, 0,0.008, 0,0,  9000,   1279, 14218,   1484,   2604,     0,     0, 0, 16991, 16991, 0, 0,0,0,0,16
58867411153961, Log, 0.000, 0.001, 0.000, 0.001,  10257,  15443,   1344, 0, 0,0.008, 0,0,  9000,   1113, 14408,   1344,   2239,     0,     0, 0, 17181, 17181, 0, 0,0,0,0,16
58868411850319, Log, 0.000, 0.001, 0.000, 0.000,  10587,  11046,    741, 0, 0,0.000, 7660,13,  9000,    485, 14581,    741,      0,     0,     0, 0, 17341, 17341, 0, 0,0,0,0,16
58869412154344, Log, 0.000, 0.001, 0.000, 0.000,  10809,   9013,    908, 0, 0,0.006, 0,0,  9000,    782, 14741,    908,   1592,     0,     0, 0, 17514, 17514, 0, 0,0,0,0,16
58870413069180, Log, 0.000, 0.001, 0.000, 0.000,   9919,   9902,    888, 0, 0,0.006, 0,0,  9000,    814, 14890,    888,   1666,     0,     0, 0, 17663, 17663, 0, 0,0,0,0,16
58871414093616, Log, 0.000, 0.001, 0.000, 0.000,   9921,  10379,    907, 0, 0,0.006, 0,0,  9000,    811, 15041,    907,   1662,     0,     0, 0, 17814, 17814, 0, 0,0,0,0,16
58872415076374, Log, 0.000, 0.001, 0.000, 0.000,  10111,   6903,    957, 0, 0,0.006, 0,0,  9000,    883, 15197,    957,    673,     0,     0, 0, 17970, 17970, 0, 0,0,0,0,16
58873416100120, Log, 0.000, 0.001, 0.000, 0.000,  10292,  10641,   1005, 0, 0,0.008, 0,0,  9000,    937, 15357,   1005,   1855,     0,     0, 0, 18130, 18130, 0, 0,0,0,0,16
58874417103570, Log, 0.000, 0.001, 0.000, 0.000,  10467,  10636,    915, 0, 0,0.006, 0,0,  9000,    788, 15514,    915,   1550,     0,     0, 0, 18287, 18287, 0, 0,0,0,0,16
58875418096292, Log, 0.000, 0.001, 0.000, 0.000,  10651,   8901,    945, 0, 0,0.006, 0,0,  9000,    822, 15668,    945,   1640,     0,     0, 0, 18441, 18441, 0, 0,0,0,0,16
58876419087497, Log, 0.000, 0.001, 0.000, 0.000,  10265,  10309,    906, 0, 0,0.006, 0,0,  9000,    793, 15821,    906,   1520,     0,     0, 0, 18594, 18594, 0, 0,0,0,0,16
58877420121673, Log, 0.000, 0.001, 0.000, 0.000,  10326,   5873,    853, 0, 0,0.006, 0,0,  9000,    799, 15961,    853,   1583,     0,     0, 0, 18734, 18734, 0, 0,0,0,0,16
58878421106542, Log, 0.000, 0.001, 0.000, 0.000,   9508,   8319,    842, 0, 0,0.006, 0,0,  9000,    979, 16108,    842,    663,     0,     0, 0, 18881, 18881, 0, 0,0,0,0,16
58879422092250, Log, 0.000, 0.001, 0.000, 0.000,   8329,   5769,    386, 0, 0,0.004, 0,0,  9000,    456, 16227,    386,      0,     0,     0, 0, 19000, 19000, 0, 0,0,0,0,16
58880423098307, Log, 0.000, 0.001, 0.000, 0.000,   5781,   5717,    342, 0, 0,0.004, 0,0,  9000,    442, 16346,    342,      0,     0,     0, 0, 19119, 19119, 0, 0,0,0,0,16
58881424117677, Log, 0.000, 0.001, 0.000, 0.000,   5729,   4214,    344, 0, 0,0.004, 0,0,  9000,    428, 16465,    344,      0,     0,     0, 0, 19238, 19238, 0, 0,0,0,0,16
58882425099617, Log, 0.000, 0.001, 0.000, 0.000,   5729,   5549,    521, 0, 0,0.004, 0,0,  9000,    653, 16584,    521,    881,     0,     0, 0, 19357, 19357, 0, 0,0,0,0,16
58883426165500, Log, 0.000, 0.000, 0.000, 0.000,   5644,   9610,    450, 0, 0,0.006, 0,0,  9000,    384, 16713,    450,      0,     0,     0, 0, 19486, 19486, 0, 0,0,0,0,16
58884427079966, Log, 0.000, 0.001, 0.000, 0.002,   7442,  10784,   1194, 0, 0,0.008, 0,0,  9000,   1015, 16879,   1194,   1987,     0,     0, 0, 19652, 19652, 0, 0,0,0,0,16
58885428110116, Log, 0.000, 0.001, 0.000, 0.001,   8879,  12326,   1208, 0, 0,0.008, 0,0,  9000,   1269, 17062,   1208,    671,     0,     0, 0, 19835, 19835, 0, 0,0,0,0,16
58886429090820, Log, 0.000, 0.000, 0.000, 0.001,   8879,      0,     17, 0, 0,0.008, 0,0,  9000,      0, 17062,     17,      0,     0,     0, 0, 19835, 19835, 0, 0,0,0,0,16
58887430109335, Log, 0.000, 0.000, 0.000, 0.001,   8879,      0,      0, 0, 0,0.008, 0,0,  9000,      0, 17062,      0,      0,     0,     0, 0, 19835, 19835, 0, 0,0,0,0,16
58888431127114, Log, 0.000, 0.000, 0.000, 0.001,   8879,      0,      0, 0, 0,0.008, 0,0,  9000,      0, 17062,      0,      0,     0,     0, 0, 19835, 19835, 0, 0,0,0,0,16
58889432061132, Log, 0.000, 0.000, 0.000, 0.001,   8879,      0,      0, 0, 0,0.008, 0,0,  9000,      0, 17062,      0,      0,     0,     0, 0, 19835, 19835, 0, 0,0,0,0,16
58890433187128, Log, 0.000, 0.000, 0.000, 0.001,   8879,      0,      0, 0, 0,0.008, 0,0,  9000,      0, 17062,      0,      0,     0,     0, 0, 19835, 19835, 0, 0,0,0,0,16
58891434104393, Log, 0.000, 0.000, 0.000, 0.001,   8879,      0,      0, 0, 0,0.008, 0,0,  9000,      0, 17062,      0,      0,     0,     0, 0, 19835, 19835, 0, 0,0,0,0,16
58892435330135, Log, 0.000, 0.000, 0.000, 0.001,   8879,      0,      0, 0, 0,0.008, 0,0,  9000,      0, 17062,      0,      0,     0,     0, 0, 19835, 19835, 0, 0,0,0,0,16
